# Genetic Disorders by Inheritance Category (with Example Conditions)

| Category | Example disorder | Typical inheritance | Notes | Example diagnostic approach |
|---|---|---|---|---|
| Autosomal dominant disorders | Huntington disease | AD | adult onset neurodegeneration | family history + targeted test |
| Autosomal dominant disorders | Marfan syndrome | AD | connective tissue involvement | clinical criteria + sequencing |
| Autosomal dominant disorders | Neurofibromatosis type 1 | AD | café-au-lait, neurofibromas | clinical + molecular test |
| Autosomal recessive disorders | Cystic fibrosis | AR | chronic lung disease | sweat chloride + genetic test |
| Autosomal recessive disorders | Phenylketonuria | AR | metabolic disorder | newborn screening |
| X-linked recessive disorders | Duchenne muscular dystrophy | XLR | progressive myopathy | CK + genetic test |
| X-linked recessive disorders | Hemophilia A | XLR | bleeding tendency | factor assay |
| Mitochondrial disorders | Leber hereditary optic neuropathy | mtDNA | optic neuropathy | mtDNA testing |
| Chromosomal disorders | Down syndrome | Aneuploidy | trisomy phenotype | karyotype/NIPT |
| Imprinting disorders | Prader-Willi syndrome | imprinting | hypotonia, hyperphagia | methylation testing |
