# Cost of Living in Tokyo (Japan) — Common Household Expenses (Average and Min–Max Range)

| Category | Expense item | Average (JPY) | Range (JPY) |
| --- | --- | ---: | --- |
| Restaurants | Meal, Inexpensive Restaurant | 1,000 | 700-1,500 |
| Restaurants | Meal for 2 People, Mid-range Restaurant, Three-course | 6,000 | 4,000-9,000 |
| Restaurants | McMeal at McDonalds (or Equivalent Combo Meal) | 750 | 650-900 |
| Markets | Rice (white), 1 kg | 650 | 450-900 |
| Markets | Milk (regular), 1 liter | 240 | 180-320 |
| Markets | Eggs (12) | 280 | 200-420 |
| Transportation | One-way Ticket (Local Transport) | 220 | 170-350 |
| Transportation | Taxi Start (Normal Tariff) | 500 | 410-700 |
| Utilities | Basic (Electricity, Heating/Cooling, Water, Garbage) for 85m2 Apartment | 22,000 | 15,000-35,000 |
| Utilities | Mobile Phone Monthly Plan (10GB+) | 5,000 | 3,000-8,000 |
| Childcare | Preschool/Kindergarten (Full Day, Private), Monthly | 50,000 | 30,000-80,000 |
| Clothing | 1 Pair of Jeans (Levis 501 or Similar) | 7,500 | 5,000-12,000 |
