# Chick-fil-A Menu Items Calories per Serving (Sandwiches, Sides, Sauces, Drinks)

| Category | Menu item (branded) | Serving size | Calories (kcal) |
| --- | --- | --- | --- |
| Sandwiches | Chick-fil-A Chicken Sandwich | 1 sandwich | 420 |
| Sandwiches | Spicy Chicken Sandwich | 1 sandwich | 460 |
| Salads | Cobb Salad (with nuggets) | 1 salad | 850 |
| Sides | Waffle Potato Fries (Medium) | 1 medium order | 420 |
| Sides | Mac & Cheese (Small) | 1 small cup | 270 |
| Sauces/Condiments | Chick-fil-A Sauce | 1 packet (28 g) | 140 |
| Sauces/Condiments | Polynesian Sauce | 1 packet (28 g) | 110 |
| Drinks | Lemonade (Medium) | 1 medium cup | 320 |
| Drinks | Icedream Cone | 1 cone | 170 |
