# Spring Materials — Typical Electrical and Thermal Properties (Not Mechanical Strength)

| Material | Electrical Resistivity (µΩ·cm) | Thermal Conductivity (W/m·K) | Coefficient of Thermal Expansion (µm/m·K) | Max Recommended Continuous Temp (°C) | Density (g/cm³) | Common Spring Use Case |
|---|---:|---:|---:|---:|---:|---|
| Music Wire (high-carbon steel) | 16 | 50 | 12 | 120 | 7.85 | General mechanical springs |
| 302 Stainless Steel | 72 | 16 | 17 | 260 | 7.9 | Corrosion-resistant springs |
| 17-7PH Stainless | 80 | 18 | 10.8 | 315 | 7.8 | Precision springs |
| Phosphor Bronze | 8.8 | 60 | 17 | 200 | 8.8 | Electrical contacts |
| Beryllium Copper | 7.5 | 105 | 17 | 260 | 8.3 | Conductive springs |
| Inconel X-750 | 125 | 11 | 13 | 700 | 8.3 | High-temp springs |
| Titanium Grade 5 | 170 | 6.7 | 9 | 350 | 4.43 | Lightweight springs |
| Aluminum 6061 | 4.0 | 167 | 23 | 120 | 2.70 | Low-load spring elements |
| PEEK | Insulator | 0.25 | 47 | 250 | 1.30 | Polymer spring clips |
| Polypropylene | Insulator | 0.22 | 100 | 80 | 0.90 | Living hinges/snap fits |
| Brass (C260) | 6.5 | 120 | 20 | 150 | 8.5 | Light-duty springs |
| Magnesium AZ31 | 9.2 | 76 | 26 | 120 | 1.77 | Lightweight components |
