# Gyeonggi Province — Postal Code Prefix Patterns by City (Selected Municipalities)

| Level | Jurisdiction (English) | Jurisdiction type | Prefix / pattern (ZIP5 leading digits) | Notes |
| --- | --- | --- | --- | --- |
| Province | Gyeonggi-do | Province | 1XX** | City-level patterns below |
| City | Gwacheon | City (si) | 138** | Single-prefix city pattern |
| City | Anyang | City (si) | 139**–141** | Multi-prefix range |
| City | Gwangmyeong | City (si) | 142**–143** | Adjacent range |
| City | Gunpo | City (si) | 158**–159** | South-west of Seoul |
| City | Uiwang | City (si) | 160** | Near Anyang/Gunpo |
| City | Seongnam | City (si) | 131**–135** | Large city, several prefixes |
| City | Suwon | City (si) | 162**–166** | Provincial capital area |
| City | Yongin | City (si) | 168**–171** | Expanding metro area |
| City | Hanam | City (si) | 129**–130** | East of Seoul |
| City | Goyang | City (si) | 102**–105** | Northwestern satellite city |
| City | Bucheon | City (si) | 144**–147** | West of Seoul |
| City | Ansan | City (si) | 152**–156** | Industrial/coastal corridor |
| City | Uijeongbu | City (si) | 116**–118** | North of Seoul |
| City | Pyeongtaek | City (si) | 177**–179** | Southern Gyeonggi port/industry |
