# Mendelian Disorders Grouped by Affected Organ System (Clinical Taxonomy Only)

| Organ system | Disorder | Core symptom(s) | Typical severity | Common differential |
|---|---|---|---|---|
| Neurologic | Spinal muscular atrophy | Progressive weakness | Severe (variable) | Muscular dystrophies |
| Neurologic | Rett syndrome | Regression, seizures | Moderate–severe | Autism spectrum disorders |
| Cardiovascular | Long QT syndrome | Syncope, arrhythmia | Potentially fatal | Vasovagal syncope |
| Cardiovascular | Familial hypercholesterolemia | Early ASCVD | High if untreated | Polygenic hyperlipidemia |
| Hematologic | Beta-thalassemia | Anemia, splenomegaly | Moderate–severe | Iron deficiency |
| Hematologic | G6PD deficiency | Hemolysis with triggers | Mild–severe | Autoimmune hemolysis |
| Skeletal/connective tissue | Osteogenesis imperfecta | Fractures, blue sclerae | Variable | Child abuse (in infants) |
| Metabolic | Medium-chain acyl-CoA dehydrogenase deficiency | Hypoketotic hypoglycemia | Severe if untreated | Sepsis |
| Renal | Alport syndrome | Hematuria, hearing loss | Progressive | IgA nephropathy |
