# Common Inorganic Ligands  Formula and Charge (Quick Reference)

| Ligand name | Ligand (as written) | Formula | Charge |
| --- | --- | --- | --- |
| Halide | fluoride | F− | −1 |
| Halide | chloride | Cl− | −1 |
| Halide | bromide | Br− | −1 |
| Halide | iodide | I− | −1 |
| Pseudohalide | cyanide | CN− | −1 |
| Pseudohalide | thiocyanate (S-bound) | SCN− | −1 |
| Pseudohalide | thiocyanate (N-bound) | NCS− | −1 |
| Oxo ligand | oxide | O2− | −2 |
| Hydroxo ligand | hydroxide | OH− | −1 |
| Aquo ligand | water (aqua) | H2O | neutral |
| Carbonyl ligand | carbon monoxide (carbonyl) | CO | neutral |
| Nitrosyl ligand | nitrosonium (linear nitrosyl) | NO+ | +1 |
| Nitrosyl ligand | nitrosyl (bent nitrosyl) | NO− | −1 |
| Amide-type | amide (amido) | NH2− | −1 |
