# Florida ZIP Code Prefix Lookup (3-digit SCF) with Coverage

| ZIP Prefix (3-digit) | SCF Area Name | Representative Cities | Approx. Coverage |
|---|---|---|---|
| 320 | North Florida | Jacksonville, St. Augustine | NE coastal |
| 321 | Volusia/Flagler | Daytona Beach, Palm Coast | NE/central coast |
| 322 | Jacksonville | Jacksonville | Metro |
| 323 | Tallahassee | Tallahassee | Big Bend |
| 324 | Panama City | Panama City, Lynn Haven | Panhandle |
| 325 | Pensacola | Pensacola, Navarre | Western Panhandle |
| 326 | Gainesville | Gainesville, Alachua | North-central |
| 327 | Orlando North/East | Sanford, Winter Springs | Central |
| 328 | Orlando | Orlando | Metro |
| 329 | Space Coast | Melbourne, Cocoa | East-central |
