# YouTube Channel Rankings with Ownership and Corporate Parent

| Rank | Channel | Subscribers (M) | Owner | Corporate Parent |
|---:|---|---:|---|---|
| 1 | T-Series | 250.4 | T-Series | Super Cassettes Industries Pvt. Ltd. |
| 2 | Cocomelon - Nursery Rhymes | 170.2 | Moonbug Entertainment | Candle Media |
| 3 | SET India | 167.9 | Sony Entertainment Television | Sony Pictures Networks |
| 4 | Zee Music Company | 106.1 | Zee Music | Zee Entertainment Enterprises |
| 5 | WWE | 101.9 | WWE, Inc. | TKO Group Holdings |
| 6 | Blackpink | 94.6 | YG Entertainment | YG Entertainment |
| 7 | JustinBieberVEVO | 73.1 | VEVO | VEVO LLC |
| 8 | HolaSoyGerman | 43.0 | Germán Garmendia | (Independent) |
| 9 | PewDiePie | 111.0 | Felix Kjellberg | (Independent) |
| 10 | Smosh | 26.0 | Smosh | Mythical Entertainment |
