# Death penalty status in Southern & Southeastern Europe (country snapshot)

| Country | Current legal status | Scope (peacetime/wartime) | Last execution year | Year abolished (peacetime) | Year abolished (wartime/fully) | Main historical method(s) | Notes (national-level context) |
|---|---|---|---:|---:|---:|---|---|
| Albania | Abolished | Fully abolished | 1995 | 2000 | 2007 | Shooting | Full abolition completed after removal of military provisions |
| Bosnia and Herzegovina | Abolished | Fully abolished | 1975 | 1998 | 1998 | Shooting | Constitutional/legal framework prohibits capital punishment |
| Bulgaria | Abolished | Fully abolished | 1989 | 1998 | 1998 | Shooting | Abolition implemented during post-communist legal reforms |
| Croatia | Abolished | Fully abolished | 1987 | 1990 | 1990 | Shooting | Abolished around independence-era constitutional changes |
| Greece | Abolished | Fully abolished | 1972 | 1993 | 2004 | Firing squad | Wartime abolition came later than peacetime abolition |
| Montenegro | Abolished | Fully abolished | 1981 | 2002 | 2002 | Shooting | Abolition aligned with broader European human-rights commitments |
| North Macedonia | Abolished | Fully abolished | 1988 | 1991 | 1991 | Shooting | Peacetime abolition established in early 1990s reforms |
| Romania | Abolished | Fully abolished | 1989 | 1990 | 1990 | Shooting | Abolished immediately after regime change |
| Serbia | Abolished | Fully abolished | 1992 | 2002 | 2002 | Shooting | National abolition followed the dissolution-era legal updates |
| Slovenia | Abolished | Fully abolished | 1959 | 1989 | 1989 | Shooting | Abolition adopted before independence, then retained |
