# Median LSAT Scores by Law School (Entering Class 2023) — Selected U.S. J.D. Programs

| Rank (illustrative) | Law School | Location | Median LSAT |
| --- | --- | --- | --- |
| 1 | Yale Law School | New Haven, CT | 175 |
| 2 | Stanford Law School | Stanford, CA | 173 |
| 3 | Harvard Law School | Cambridge, MA | 173 |
| 4 | University of Chicago Law School | Chicago, IL | 172 |
| 5 | Columbia Law School | New York, NY | 172 |
| 6 | New York University School of Law | New York, NY | 171 |
| 7 | University of Pennsylvania Carey Law School | Philadelphia, PA | 171 |
| 8 | Duke University School of Law | Durham, NC | 170 |
| 9 | University of Michigan Law School | Ann Arbor, MI | 170 |
| 10 | University of Virginia School of Law | Charlottesville, VA | 170 |
