# Daylight Saving Time (DST) Observance and Changeover Dates by Country (2024)

| Country/Territory | Region | DST Observed in 2024? | DST Start (clocks forward) | DST End (clocks back) | Notes |
| --- | --- | --- | --- | --- | --- |
| United States (most states) | North America | Yes | 2024-03-10 | 2024-11-03 | Excludes Hawaii, most of Arizona |
| Canada (most provinces) | North America | Yes | 2024-03-10 | 2024-11-03 | Varies by province/territory |
| Mexico (most states) | North America | Partial | 2024-03-10 (border regions) | 2024-11-03 (border regions) | Many regions no longer observe DST; border alignment remains |
| Brazil | South America | No | — | — | DST currently not observed nationwide |
| United Kingdom | Europe | Yes | 2024-03-31 | 2024-10-27 | BST/GMT seasonal change |
| Germany | Europe | Yes | 2024-03-31 | 2024-10-27 | EU-style last Sunday rules |
| Russia | Europe/Asia | No | — | — | Permanent standard time (no DST) |
| Japan | Asia | No | — | — | No seasonal clock change |
| Australia (New South Wales, Victoria, Tasmania, ACT) | Oceania | Partial | 2024-10-06 | 2024-04-07 | Some states/territories do not observe DST |
| New Zealand | Oceania | Yes | 2024-09-29 | 2024-04-07 | Southern Hemisphere season |
| South Africa | Africa | No | — | — | No DST |
| Egypt | Africa | Yes | 2024-04-26 | 2024-10-25 | Recent reintroduction; dates can be adjusted by decree |
