# Top Entry-Level Employers Hiring New Graduates (Mixed Majors)

| Rank | Employer | Industry | Typical Entry Roles | Primary Majors Targeted |
| --- | --- | --- | --- | --- |
| 1 | Amazon | E-commerce/Tech | Area Manager, Ops Analyst | Business, Engineering |
| 2 | Deloitte | Professional Services | Consultant, Audit Associate | Accounting, Any |
| 3 | JPMorgan Chase | Banking | Client Service, Ops Associate | Finance, Any |
| 4 | Target | Retail | Executive Team Leader | Any |
| 5 | Google | Tech | Sales Dev Rep, Program Coordinator | Any |
| 6 | UnitedHealth Group | Healthcare | Business Analyst | Any |
| 7 | Boeing | Aerospace | Supply Chain Specialist | Engineering, Business |
| 8 | Accenture | Consulting | Analyst | Any |
| 9 | Walmart | Retail | Operations Manager | Any |
| 10 | Comcast | Media/Telecom | Account Executive | Communications, Any |
