# Parallel Book Names Across Major Biblical Traditions (Pentateuch + Historical Books)

| Section | Hebrew Bible / Tanakh (English) | Masoretic Tradition (Hebrew title, translit.) | Septuagint (Greek title) | Vulgate (Latin title) | Common English Protestant (KJV-style) | Catholic (Douay-Rheims-style) |
| --- | --- | --- | --- | --- | --- | --- |
| Torah / Pentateuch | Genesis | בְּרֵאשִׁית (Bereshit) | Γένεσις (Genesis) | Genesis | Genesis | Genesis |
| Torah / Pentateuch | Exodus | שְׁמוֹת (Shemot) | Ἔξοδος (Exodos) | Exodus | Exodus | Exodus |
| Torah / Pentateuch | Leviticus | וַיִּקְרָא (Vayikra) | Λευϊτικόν (Leuitikon) | Leviticus | Leviticus | Leviticus |
| Torah / Pentateuch | Numbers | בְּמִדְבַּר (Bamidbar) | Ἀριθμοί (Arithmoi) | Numeri | Numbers | Numbers |
| Torah / Pentateuch | Deuteronomy | דְּבָרִים (Devarim) | Δευτερονόμιον (Deuteronomion) | Deuteronomium | Deuteronomy | Deuteronomy |
| Former Prophets / History | Joshua | יְהוֹשֻׁעַ (Yehoshua) | Ἰησοῦς Ναυή (Iēsous Nauē) | Iosue | Joshua | Josue |
| Former Prophets / History | Judges | שֹׁפְטִים (Shoftim) | Κριταί (Kritai) | Iudicum | Judges | Judges |
| Former Prophets / History | Samuel (1–2) | שְׁמוּאֵל (Shemu'el) | Αʹ–Βʹ Βασιλειῶν (1–2 Kingdoms) | I–II Regum | 1–2 Samuel | 1–2 Kings (Samuel) |
| Former Prophets / History | Kings (1–2) | מְלָכִים (Melakhim) | Γʹ–Δʹ Βασιλειῶν (3–4 Kingdoms) | III–IV Regum | 1–2 Kings | 3–4 Kings (Kings) |
| Writings / History | Chronicles (1–2) | דִּבְרֵי הַיָּמִים (Divrei haYamim) | Παραλειπομένων Αʹ–Βʹ (Paraleipomenōn) | I–II Paralipomenon | 1–2 Chronicles | 1–2 Paralipomenon (Chronicles) |
| Writings / Return Narrative | Ezra | עֶזְרָא (Ezra) | Ἔσδρας Βʹ (Esdras B) | Esdrae I | Ezra | 1 Esdras (Ezra) |
| Writings / Return Narrative | Nehemiah | נְחֶמְיָה (Nehemiah) | Νεεμίας (Neemias) | Nehemiae (Esdrae II) | Nehemiah | 2 Esdras (Nehemiah) |
