# Harbor Lights (TV Series 2009–2013) — Full Cast & Crew (Selected)

| Section | Name | Role / Job | Episodes |
|---|---|---|---|
| Cast | Megan Clarke | Captain Isla Reed | 52 episodes (2009–2013) |
| Cast | Daniel Cho | Lt. Kenji Morales | 44 episodes (2009–2013) |
| Cast | Ruth Gallagher | Dr. Evelyn Shaw | 31 episodes (2010–2013) |
| Cast | Isaac Bennett | Tom "Fathom" Dorsey | 18 episodes (2009–2012) |
| Cast | Leila Haddad | Marina Kline | 12 episodes (2011–2013) |
| Cast | Peter Voss | Mayor Calder | 7 episodes (2010–2012) |
| Cast | Naomi Sykes | Abby Reed (young) | 3 episodes (2012) |
| Cast | Victor Nguyen | Dockworker #2 | 1 episode (2011) |
| Crew — Cinematography | Elena Petrov | Director of photography | 20 episodes (2010–2012) |
| Crew — Editing | Calvin Rios | Film editor | 15 episodes (2009–2011) |
| Crew — Music | Tessa Lang | Original music composer | 52 episodes (2009–2013) |
