# iPhone 5S Price Comparison Online (Flipkart vs Amazon) — Variant-Level Breakdown

| iPhone 5S Variant | Flipkart Price (INR) | Amazon Price (INR) | Price Difference (Amazon - Flipkart) | Stock Status |
| --- | ---: | ---: | ---: | --- |
| Gold, 16 GB | 26490 | 27490 | 1000 | In stock (both) |
| Silver, 16 GB | 25890 | 26890 | 1000 | In stock (both) |
| Space Grey, 16 GB | 26190 | 27000 | 810 | In stock (Flipkart), few left (Amazon) |
| Gold, 32 GB | 28790 | 30490 | 1700 | In stock (both) |
| Silver, 32 GB | 29290 | 31290 | 2000 | In stock (both) |
| Space Grey, 32 GB | 28500 | 30000 | 1500 | In stock (both) |
| Gold, 64 GB | 31890 | 33790 | 1900 | In stock (both) |
| Silver, 64 GB | 32390 | 34990 | 2600 | In stock (Flipkart), limited (Amazon) |
| Space Grey, 64 GB | 31600 | 34200 | 2600 | In stock (both) |
| Gold, 16 GB (with exchange offer applied) | 23990 | 27490 | 3500 | Offer requires eligible device |
| Silver, 32 GB (bank discount applied) | 27290 | 31290 | 4000 | Discount via specific cards |
| Space Grey, 64 GB (seller promo) | 29990 | 34200 | 4210 | Promo limited period |
