# Top-Rated (A) Deer-Resistant Landscape Plants — Clean Shortlist (No B C Entries)

| Common Name | Latin Name | Plant Type | Deer-Resistance Rating |
|---|---|---|---|
| American Holly | Ilex opaca | Tree | A |
| Allegheny Spurge | Pachysandra procumbens | Groundcover | A |
| Flossflower | Ageratum houstonianum | Annual | A |
| Angel’s Trumpet | Brugmansia spp. | Tender Shrub / Annual (grown as) | A |
| Boxwood | Buxus sempervirens | Shrub | A |
| Lavender | Lavandula angustifolia | Perennial | A |
| Russian Sage | Salvia yangii (Perovskia atriplicifolia) | Perennial | A |
| Catmint | Nepeta × faassenii | Perennial | A |
| Yucca | Yucca filamentosa | Perennial / Accent | A |
