# Microsoft Access Skill Compensation by Role (Annual Salary + Bonus + Hourly Overtime)

| Role | Base Annual Salary | Typical Annual Bonus | Overtime Rate (Hourly) | Total Compensation Basis |
| --- | --- | --- | --- | --- |
| Data Analyst (Access) | $53,800 | $2,500 | $38.00/hr | Mixed components |
| Financial Analyst (Access) | $56,900 | $4,200 | $45.00/hr | Mixed components |
| Business Analyst, IT (Access) | $64,100 | $5,000 | $52.00/hr | Mixed components |
| IT Manager (Access) | $76,500 | $10,000 | $0.00/hr | Base+bonus, sometimes exempt |
| Database Administrator (Access) | $70,200 | $6,000 | $55.00/hr | Includes hourly overtime |
| Office Manager (Access) | $58,400 | $1,800 | $33.00/hr | Mix of annual + hourly |
| Technical Support Lead (Access) | $61,700 | $3,200 | $44.00/hr | Mixed units |
| Reporting Specialist (Access) | $59,300 | $2,700 | $41.00/hr | Mixed components |
| Project Coordinator (Access) | $49,600 | $1,200 | $30.00/hr | Mixed units |
