# African Countries and Capitals (Including ISO Codes and Regions)

| ISO alpha-2 | Country | Capital city | Region | Subregion |
|---|---|---|---|---|
| DZ | Algeria | Algiers | Africa | Northern Africa |
| AO | Angola | Luanda | Africa | Middle Africa |
| BJ | Benin | Porto-Novo | Africa | Western Africa |
| BW | Botswana | Gaborone | Africa | Southern Africa |
| ET | Ethiopia | Addis Ababa | Africa | Eastern Africa |
| GH | Ghana | Accra | Africa | Western Africa |
| KE | Kenya | Nairobi | Africa | Eastern Africa |
| MA | Morocco | Rabat | Africa | Northern Africa |
| NG | Nigeria | Abuja | Africa | Western Africa |
| TZ | Tanzania | Dodoma | Africa | Eastern Africa |
