# Mortgage Lender Rate Sheet Snapshot — Products, Rate, APR, and Day-over-Day Change

| Lender | Product | Interest Rate | APR | Day-over-Day Change |
| --- | --- | --- | --- | --- |
| Lender A | 30-year fixed (purchase) | 6.59% | 6.76% | +0.02 |
| Lender A | 15-year fixed (purchase) | 5.92% | 6.10% | +0.01 |
| Lender A | 5/1 ARM (purchase) | 6.09% | 6.70% | -0.01 |
| Lender B | 30-year fixed (refinance) | 6.72% | 6.89% | +0.03 |
| Lender B | 7/1 ARM (purchase) | 6.21% | 6.77% | +0.00 |
| Lender B | 30-year fixed FHA | 6.33% | 6.91% | +0.02 |
| Lender C | 30-year fixed VA | 6.08% | 6.40% | +0.01 |
| Lender C | 30-year fixed jumbo (purchase) | 6.81% | 6.98% | +0.04 |
| Lender C | 10/1 ARM jumbo (purchase) | 6.45% | 6.93% | +0.02 |
| Lender D | 20-year fixed (purchase) | 6.41% | 6.62% | +0.02 |
