# Common Oxidation States (Valencies) of Selected Transition Metals

| Atomic No. | Element | Symbol | Common oxidation states (most common first) | Notes |
|---:|---|---|---|---|
| 22 | Titanium | Ti | +2, +3, +4 | +4 is frequent in oxides |
| 23 | Vanadium | V | +2, +3, +4, +5 | wide range across compounds |
| 24 | Chromium | Cr | +2, +3, +6 | +3 and +6 are most encountered |
| 25 | Manganese | Mn | +2, +4, +7, (+3), (+6) | +2 common in salts, +7 in permanganate |
| 26 | Iron | Fe | +2, +3 | +2/+3 interconvert readily |
| 27 | Cobalt | Co | +2, +3 | +3 common in coordination complexes |
| 28 | Nickel | Ni | +2, (+3) | +2 dominates |
| 29 | Copper | Cu | +1, +2, (+3) | +1 and +2 common |
| 30 | Zinc | Zn | +2 | typically fixed at +2 |
| 47 | Silver | Ag | +1, (+2), (+3) | +1 is dominant |
