# RuPaul's Drag Race All Stars 2 — Cast List

| Queen | Original Season | Hometown |
|---|---|---|
| Alaska | Season 5 | Erie, Pennsylvania |
| Alyssa Edwards | Season 5 | Mesquite, Texas |
| Detox | Season 5 | Orlando, Florida |
| Katya | Season 7 | Boston, Massachusetts |
| Ginger Minj | Season 7 | Orlando, Florida |
| Roxxxy Andrews | Season 5 | Orlando, Florida |
| Tatianna | Season 2 | Falls Church, Virginia |
| Phi Phi O'Hara | Season 4 | San Antonio, Texas |
| Coco Montrese | Season 5 | Miami, Florida |
