# List of countries by past and projected GDP ( nominal )
> IMF estimates between 1970 and 1979

| Country (or dependent territory) | 1970 | 1971 | 1972 | 1973 | 1974 | 1975 | 1976 | 1977 | 1978 | 1979 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Afghanistan | 1,749 | 1,831 | 1,596 | 1,733 | 2,156 | 2,367 | 2,556 | 2,953 | 3,300 | 3,698 |
| Albania | 2,347 | 2,415 | 2,484 | 2,555 | 2,628 | 2,704 | 2,782 | 2,860 | 2,945 | 2,458 |
| Algeria | 5,167 | 5,376 | 7,193 | 9,250 | 13,290 | 15,591 | 17,790 | 21,038 | 26,433 | 33,276 |
| Andorra | 96 | 109 | 139 | 185 | 228 | 269 | 278 | 311 | 377 | 504 |
| Angola | 2,865 | 3,015 | 3,105 | 3,794 | 4,251 | 3,131 | 2,995 | 3,276 | 3,643 | 4,044 |
| Anguilla | 4 | 5 | 5 | 6 | 7 | 7 | 7 | 8 | 9 | 11 |
| Antigua and Barbuda | 37 | 45 | 62 | 86 | 92 | 94 | 78 | 89 | 101 | 124 |
| Argentina | 31,361 | 37,515 | 34,668 | 37,959 | 43,644 | 47,493 | 50,200 | 56,807 | 58,831 | 68,212 |
| Aruba | 177 | 186 | 196 | 206 | 217 | 229 | 241 | 254 | 268 | 282 |
| Australia | 45,154 | 50,381 | 59,318 | 85,698 | 102,112 | 108,973 | 117,393 | 116,312 | 135,739 | 150,316 |
| Austria | 15,215 | 17,675 | 21,834 | 29,212 | 34,827 | 39,647 | 42,518 | 51,018 | 61,413 | 73,181 |
| Bahamas | 568 | 605 | 624 | 708 | 756 | 892 | 971 | 1,162 | 1,336 | 1,579 |
| Bahrain | 369 | 398 | 503 | 717 | 982 | 1,036 | 1,491 | 1,875 | 2,141 | 2,554 |
| Bangladesh | 6,196 | 5,578 | 6,179 | 6,739 | 8,056 | 8,458 | 9,447 | 9,950 | 12,751 | 14,758 |
| Barbados | 214 | 241 | 276 | 336 | 402 | 472 | 513 | 583 | 653 | 792 |
| Belgium | 26,382 | 29,459 | 36,757 | 47,162 | 55,352 | 64,877 | 70,248 | 81,830 | 100,018 | 114,901 |
| Belize | 25 | 32 | 42 | 68 | 90 | 104 | 82 | 106 | 121 | 141 |
| Benin | 298 | 316 | 390 | 477 | 513 | 624 | 664 | 728 | 883 | 1,075 |
| Bermuda | 266 | 301 | 336 | 384 | 446 | 492 | 551 | 598 | 646 | 752 |
| Bhutan | 63 | 68 | 71 | 80 | 95 | 88 | 90 | 100 | 96 | 107 |
| Bolivia | 1,010 | 1,094 | 1,279 | 1,299 | 2,149 | 2,399 | 2,749 | 2,746 | 2,999 | 3,254 |
| Botswana | 67 | 88 | 115 | 169 | 235 | 274 | 296 | 382 | 455 | 594 |
| Brazil | 35,214 | 39,332 | 50,624 | 71,673 | 91,888 | 108,051 | 127,741 | 148,672 | 168,803 | 186,095 |
| British Virgin Islands | 20 | 17 | 18 | 20 | 24 | 27 | 29 | 30 | 35 | 43 |
| Brunei Darussalam | 203 | 224 | 307 | 491 | 1,217 | 1,324 | 1,613 | 1,964 | 2,201 | 3,178 |
| Bulgaria | 9,000 | 8,897 | 10,407 | 12,409 | 13,495 | 11,908 | 12,625 | 12,908 | 13,982 | 9,347 |
| Burkina Faso | 450 | 459 | 587 | 679 | 748 | 890 | 853 | 1,031 | 1,328 | 1,782 |
| Burundi | 344 | 354 | 345 | 428 | 485 | 581 | 640 | 760 | 859 | 1,110 |
| Cambodia | 774 | 776 | 800 | 710 | 711 | 746 | 799 | 738 | 806 | 768 |
| Cameroon | 1,157 | 1,297 | 1,673 | 2,272 | 2,427 | 3,187 | 3,473 | 4,062 | 5,347 | 7,116 |
| Canada | 86,303 | 97,475 | 111,031 | 128,945 | 157,498 | 170,692 | 202,829 | 207,789 | 214,677 | 238,664 |
| Cape Verde | 64 | 72 | 82 | 101 | 101 | 118 | 110 | 103 | 119 | 127 |
| Cayman Islands | 24 | 30 | 39 | 51 | 60 | 72 | 86 | 102 | 122 | 145 |
| Central African Republic | 264 | 281 | 321 | 378 | 392 | 528 | 629 | 708 | 852 | 977 |
| Chad | 414 | 452 | 469 | 521 | 607 | 876 | 823 | 832 | 991 | 894 |
| Chile | 9,559 | 11,443 | 12,354 | 17,611 | 17,069 | 7,941 | 10,843 | 14,699 | 16,940 | 22,806 |
| China | 91,039 | 98,059 | 111,589 | 136,071 | 141,529 | 160,340 | 150,854 | 171,467 | 214,160 | 263,190 |
| Hong Kong | 3,812 | 4,456 | 5,702 | 8,022 | 9,374 | 10,044 | 12,873 | 15,706 | 18,297 | 22,495 |
| Macau | 165 | 197 | 241 | 328 | 377 | 436 | 433 | 554 | 723 | 822 |
| Colombia | 10,193 | 11,062 | 12,282 | 14,531 | 17,462 | 18,508 | 21,674 | 27,519 | 32,864 | 39,497 |
