# List of LGBT characters in film
> P

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Valerie Page | V for Vendetta | Lesbian | Film |
| Willhelmina Pang | Saving Face | Lesbian | Film |
| Pascal | Center of my World | Lesbian | Film |
| Patrick | The Perks of Being a Wallflower | Gay | Film |
| Patti | Under the Tuscan Sun | Lesbian | Film |
| Pauline | Lost and Delirious | Lesbian | Film |
| Russell Paxton | Lady in the Dark | Gay | Film, radio, TV |
| Ste Pearce | Beautiful Thing | Gay | Film |
| Phil | Center of my World | Gay | Film |
| Pie | Yes or No | Bisexual | Film |
| Jen Plante | Dottie's Magic Pockets | Lesbian | DVD |
| Polly | May | Lesbian | Film |
| Coach Popper | Last Picture Show | Gay | Film |
| Patricia Porker | SpiderBabe | Bisexual | Film |
| Rand Posin [4] | Hamlet 2 | Gay | Film |
| David Posner | The History Boys | Gay | Film/Theatre |
| Bobby Prinze | Scary Movie | Gay | Film |
| Tom Prinze | Scream 3 | Bisexual? | Film |
| Prudence | Across the Universe | Lesbian | Film |
