# Non - SI units mentioned in the SI
> Common units not officially sanctioned

| Name | Symbol | Quantity | Equivalent SI unit |
| --- | --- | --- | --- |
| ångström , angstrom | Å | length | 1 Å = 0.1 nm = 10 −10 m = 100 pm |
| are | a | area | 1 a = 1 dam 2 = 100 m 2 |
| barn | b | area | 1 b = 10 −28 m 2 |
| bar | bar | pressure | 1 bar = 10 5 Pa |
| millibar | mbar | pressure | 1 mbar = 1 hPa = 100 Pa |
| atmosphere | atm | pressure | 1 atm = 1013.25 mbar = 1013.25 hPa = 7005101325000000000♠ 101 325 Pa exactly (commonly used in atmospheric meteorology, in oceanography and for pressures within liquids, or in the industry for pressures within containers of liquefied gas) |
| dyne per square centimetre ( barye ) | Ba | pressure | 1 Ba = 0.1 Pa = 0.1 N / m 2 = 100 g ·cm −1 · s −2 |
| millimetre of mercury | mmHg | pressure | 1 mmHg = 7002133322387415000♠ 133.322 387 415 Pa at 0 °C = 7002133322387415000♠ 133.322 387 415 N/m 2 at 0 °C = 7002133322387415000♠ 133.322 387 415 kg·cm −1 ·s −2 at 0 °C |
| torr | Torr | pressure | 1 Torr = 1/760 atm = 133.322 368 421 ... Pa = 133.322 368 421 ... N/m 2 = 133.322 368 421 ... kg·cm −1 ·s −2 |
