# Indian Premier League
> Individual awards

| Year | Team | Nat | Player | Wickets |
| --- | --- | --- | --- | --- |
| 2008 | Rajasthan Royals |  | Sohail Tanvir | 22 |
| 2009 | Deccan Chargers |  | R P Singh | 23 |
| 2010 | Deccan Chargers |  | Pragyan Ojha | 21 |
| 2011 | Mumbai Indians |  | Lasith Malinga | 28 |
| 2012 | Kolkata Knight Riders |  | Morne Morkel | 25 |
| 2013 | Chennai Super Kings |  | Dwayne Bravo | 32 |
| 2014 | Chennai Super Kings |  | Mohit Sharma | 23 |
| 2015 | Chennai Super Kings |  | Dwayne Bravo | 26 |
| 2016 | Sunrisers Hyderabad |  | Bhuvneshwar Kumar | 23 |
