# List of institutions of higher education in Kerala
> Universities

| University [1] | Location | Type | Founded |
| --- | --- | --- | --- |
| Central University of Kerala | Kasaragod | Science, fine arts, literature | 2009 |
| University [1] | Location | Type | Founded |
| A P J Abdul Kalam Technological University | Thiruvananthapuram | Engineering, management, technology | 2014 |
| Cochin University of Science and Technology | Ernakulam | Multidisciplinary | 1971 |
| Kannur University | Kannur | Multidisciplinary | 1997 |
| Kerala Agricultural University | Thrissur | Agriculture , engineering | 1972 |
| Kerala University of Fisheries and Ocean Studies | Kochi | Fisheries , climate science | 2010 |
| Kerala University of Health Sciences | Thrissur | Medical, paramedical, health sciences | 2010 |
| Kerala Veterinary and Animal Sciences University | Wayanad | Animal sciences | 2010 |
| Mahatma Gandhi University | Kottayam | Multidisciplinary | 1983 |
| Sree Sankaracharya University of Sanskrit | Kalady | Sanskrit and Vedic studies | 1994 |
| Thunchath Ezhuthachan Malayalam University | Malappuram | Malayalam language and literature | 2012 |
| University of Calicut | Malappuram | Multidisciplinary | 1968 |
| University of Kerala | Thiruvananthapuram | Multidisciplinary | 1937 |
