# Adobe RoboHelp
> Revision history

| Version | Release date | Changes |
| --- | --- | --- |
| 1.0 | 1991 | First general availability release. Developed by Gen Kiyooka of Blue Sky Software. |
| 5.0 | 2004 | Marketed by eHelp Corporation—and, later, Macromedia—as RoboHelp X5 Office. This was the current version of the program when Adobe completed its acquisition of Macromedia on 3 December 2005. |
| 6.0 | 2007 | Adobe announced RoboHelp 6 on 16 January 2007. Enhancements include: Command-line compilation User-defined variables Build-tag usage reports RoboSource Control 3 Microsoft Word import/export improvements Includes Adobe Acrobat Elements |
| 7.0 | October 2007 | Adobe announced RoboHelp 7 on 25 September 2007. Enhancements include: Unicode support Vista and Office 2007 support More flexible user interface More refined editor |
| 8.0 | 2009 | Adobe announced RoboHelp 8 on 20 January 2009, and bundled it with v2.0 of their Technical Communication Suite . Enhancements include: Export a help system as an Adobe AIR application |
| 9.0 | 11 January 2011 | Adobe bundled RoboHelp 9 with v3.0 of Adobe Technical Communication Suite. [4] Enhancements include: Support of shared and linked resources Enhanced user defined variables and snippets pods Automated CSH authoring Web output preview in multiple browsers |
| 10.0 | 24 July 2012 | Adobe bundled RoboHelp 10 with v4.0 of Adobe Technical Communication Suite. Enhancements include: Multi-screen HTML5 content Export to Amazon Kindle (KF8) and Mobipocket (.mobi) file formats Customizable screen layouts Integration with Microsoft SharePoint |
| 11.0 | 14 January 2014 | Adobe announced RoboHelp 11 on 14 January 2014. [5] It is bundled with v5.0 of Adobe Technical Communication Suite. [6] Enhancements include: Single-click responsive HTML5 publishing Responsive HTML5 layout editor Customized headers and footers in printed documentation Context-sensitive help for mobile apps Managing shared resources on the cloud Online and offline Help viewers |
| 12.0 | 8 June 2015 | Adobe announced RoboHelp 2015 on 8 June 2015. [7] It is bundled with v6.0 of Adobe Technical Communication Suite. [8] Enhancements include: Mobile app support Ribbon UI Enhanced search functionality Dynamic filtering Responsive Layouts and Improvements Right-to-Left (RTL) Language Support |
