# Veselovka TV Mast
> Radiated Programs

| Program | Frequency | Channel number | TRP |
| --- | --- | --- | --- |
| Первый канал | 189,25 MHz | 7 | 5 kW |
| Россия / ГТРК Янтарь | 210,25 MHz | 10 | 5 kW |
| план цифра | 471,25 MHz | 21 | 1 kW |
| Euronews | 543,25 MHz | 30 | 5 kW |
|  | 583,25 MHz | 35 | 20 kW |
|  | 623,25 MHz | 40 | 5 kW |
|  | 655,25 MHz | 44 | 1 kW |
| цифра заявка | 679,25 MHz | 47 | 20 kW |
|  | 703,25 MHz | 50 | 1 kW |
| цифра | 751,25 MHz | 56 | 20 kW |
|  | 759,25 MHz | 57 | 20 kW |
