# The Banker
> Top 1000 World Banks

| Rank [18] | Banks | Country |
| --- | --- | --- |
| 2016 | Industrial and Commercial Bank of China | China |
| 2015 | Industrial and Commercial Bank of China | China |
| 2014 | Industrial and Commercial Bank of China | China |
| 2013 | Industrial and Commercial Bank of China | China |
| 2012 | Bank of America | United States |
| 2011 | Bank of America | United States |
| 2010 | Bank of America | United States |
| 2009 | JPMorgan Chase | United States |
| 2008 | HSBC | United Kingdom |
| 2007 | Bank of America | United States |
| 2006 | Citigroup | United States |
| 2005 | Citigroup | United States |
| 2004 | Citigroup | United States |
| 2003 | Citigroup | United States |
| 2002 | Citigroup | United States |
| 2001 | Citigroup | United States |
| 2000 | Citigroup | United States |
