# List of Stargate SG-1 episodes
> Television series

| No. in series | No. in season | Title | Directed by | Written by | Original air date | U.S. viewers (millions) |
| --- | --- | --- | --- | --- | --- | --- |
| 175 | 1 | " Avalon " | Andy Mikita | Excerpts Starring: Wendy Russell, Claude Knowlton Excerpts by: Robert C. Cooper, Brad Wright Written by: Robert C. Cooper | July 15, 2005 ( 2005-07-15 ) ( Sci Fi Channel ) | 2.1 [2] |
| 176 | 2 | " Avalon Part 2 " | Andy Mikita | Robert C. Cooper | July 22, 2005 ( 2005-07-22 ) (Sci Fi Channel) | 2.1 [3] |
| 177 | 3 | " Origin " | Brad Turner | Robert C. Cooper | July 29, 2005 ( 2005-07-29 ) (Sci Fi Channel) | 2.0 [4] |
| 178 | 4 | "The Ties That Bind" | William Waring | Joseph Mallozzi & Paul Mullie | August 5, 2005 ( 2005-08-05 ) (Sci Fi Channel) | 2.0 [5] |
| 179 | 5 | "The Powers That Be" | William Waring | Martin Gero | August 12, 2005 ( 2005-08-12 ) (Sci Fi Channel) | 2.0 [6] |
| 180 | 6 | "Beachhead" | Brad Turner | Brad Wright | August 19, 2005 ( 2005-08-19 ) (Sci Fi Channel) | 1.9 [7] |
| 181 | 7 | "Ex Deus Machina" | Martin Wood | Joseph Mallozzi & Paul Mullie | August 26, 2005 ( 2005-08-26 ) (Sci Fi Channel) | 1.9 [8] |
| 182 | 8 | "Babylon" | Peter DeLuise | Damian Kindler | September 9, 2005 ( 2005-09-09 ) (Sci Fi Channel) | 2.0 [9] |
| 183 | 9 | "Prototype" | Peter DeLuise | Alan McCullough | September 16, 2005 ( 2005-09-16 ) (Sci Fi Channel) | 1.8 [10] |
| 184 | 10 | " The Fourth Horseman " | Andy Mikita | Damian Kindler | September 16, 2005 ( 2005-09-16 ) (Sci Fi Channel) | 1.8 [10] |
| 185 | 11 | " The Fourth Horseman Part 2 " | Andy Mikita | Joseph Mallozzi & Paul Mullie | January 6, 2006 ( 2006-01-06 ) (Sci Fi Channel) | 1.9 [11] |
| 186 | 12 | "Collateral Damage" | William Waring | Joseph Mallozzi & Paul Mullie | January 13, 2006 ( 2006-01-13 ) (Sci Fi Channel) | 1.7 [12] |
| 187 | 13 | "Ripple Effect" | Peter DeLuise | Story: Brad Wright & Joseph Mallozzi & Paul Mullie Teleplay: Joseph Mallozzi & Paul Mullie | January 20, 2006 ( 2006-01-20 ) (Sci Fi Channel) | 1.8 [13] |
| 188 | 14 | "Stronghold" | Peter DeLuise | Excerpts by: Robert C. Cooper, Martin Gero, Brad Wright Written by: Alan McCullough | January 27, 2006 ( 2006-01-27 ) (Sci Fi Channel) | 1.8 [14] |
| 189 | 15 | "Ethon" | Ken Girotti | Story: Damian Kindler & Robert C. Cooper Teleplay: Damian Kindler | February 3, 2006 ( 2006-02-03 ) (Sci Fi Channel) | 1.6 [15] |
| 190 | 16 | "Off the Grid" | Peter DeLuise | Alan McCullough | February 10, 2006 ( 2006-02-10 ) (Sci Fi Channel) | 1.6 [15] |
| 191 | 17 | "The Scourge" | Ken Girotti | Joseph Mallozzi & Paul Mullie | February 17, 2006 ( 2006-02-17 ) (Sci Fi Channel) | 1.6 [16] |
| 192 | 18 | "Arthur's Mantle" | Peter DeLuise | Alan McCullough | February 24, 2006 ( 2006-02-24 ) (Sci Fi Channel) | 1.7 [17] |
| 193 | 19 | " Crusade " | Robert C. Cooper | Robert C. Cooper | March 3, 2006 ( 2006-03-03 ) (Sci Fi Channel) | 1.8 [18] |
| 194 | 20 | " Camelot " | Martin Wood | Joseph Mallozzi & Paul Mullie | March 10, 2006 ( 2006-03-10 ) (Sci Fi Channel) | 1.9 [19] |
