# Michigan Republican Party
> United States Cabinet Members from Michigan who served under a Republican President

| Name | Cabinet Position | Years Served | President(s) served under |
| --- | --- | --- | --- |
| Charles Erwin Wilson | Secretary of Defense | 1953-57 | Dwight D. Eisenhower |
| Zachariah Chandler | Secretary of the Interior | 1875-77 | Ulysses S. Grant |
| Roy Dikeman Chapin | Secretary of Commerce | 1932-33 | Herbert Hoover |
| Frederick H. Mueller | Secretary of Commerce | 1959-61 | Dwight D. Eisenhower |
| Governor George W. Romney | Secretary of Housing and Urban Development | 1969-73 | Richard Nixon |
| Spencer Abraham | Secretary of Energy | 2001-05 | George W. Bush |
| Governor Russell A. Alger | Secretary of War obsolete | 1897-99 | William McKinley |
| Truman H. Newberry | Secretary of the Navy obsolete | 1908-09 | Theodore Roosevelt |
| Edwin C. Denby | Secretary of the Navy obsolete | 1921-24 | Warren G. Harding & Calvin Coolidge |
| Arthur E. Summerfield | Postmaster General obsolete | 1953-61 | Dwight D. Eisenhower |
