# National Football League Rookie of the Year Award
> Sporting News NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1970 | Taylor, Bruce Bruce Taylor | San Francisco 49ers | Cornerback |
| 1971 | Brockington, John John Brockington | Green Bay Packers | Fullback |
| 1972 | Marcol, Chester Chester Marcol | Green Bay Packers | Placekicker |
| 1973 | Foreman, Chuck Chuck Foreman | Minnesota Vikings | Running back |
| 1974 | Jackson, Wilbur Wilbur Jackson | San Francisco 49ers | Running back |
| 1975 | Bartkowski, Steve Steve Bartkowski | Atlanta Falcons | Quarterback |
| 1976 | White, Sammy Sammy White [27] | Minnesota Vikings | Wide receiver |
| 1977 | Dorsett, Tony Tony Dorsett [28] | Dallas Cowboys | Running back |
| 1978 | Baker, Al Al Baker | Detroit Lions | Defensive end |
| 1979 | Anderson, Ottis Ottis Anderson [29] | St. Louis Cardinals | Running back |
