# Turkish Airlines destinations
> Destinations

| City | Country | IATA | ICAO | Airport | Refs |
| --- | --- | --- | --- | --- | --- |
| Aalborg | Denmark | AAL | EKYT | Aalborg Airport | [1] [2] |
| Abidjan | Ivory Coast | ABJ | DIAP | Port Bouet Airport | [1] [3] |
| Abu Dhabi | United Arab Emirates | AUH | OMAA | Abu Dhabi International Airport | [1] |
| Abuja | Nigeria | ABV | DNAA | Nnamdi Azikiwe International Airport | [1] [4] |
| Accra | Ghana | ACC | DGAA | Kotoka International Airport # | [1] [5] |
| Adana | Turkey | ADA | LTAF | Adana Şakirpaşa Airport | [1] |
| Addis Ababa | Ethiopia | ADD | HAAB | Addis Ababa Bole International Airport | [1] |
| Aden [nb 1] | Yemen | ADE | OYAA | Aden International Airport [T] | [9] |
| Adiyaman ! Adıyaman | Turkey | ADF | LTCP | Adıyaman Airport | [1] |
| Agri ! Ağrı | Turkey | AJI | LTCO | Ağrı Airport | [1] |
| Ahvaz | Iran | AWZ | OIAW | Ahvaz International Airport | [1] [10] [11] |
| Alanya | Turkey | GZP | LTFG | Gazipaşa Airport | [1] [12] |
| Aleppo [nb 2] | Syria | ALP | OSAP | Aleppo International Airport [T] | [13] |
| Alexandria | Egypt | HBE | HEBA | Borg El Arab Airport | [1] |
| Algiers | Algeria | ALG | DAAG | Houari Boumediene Airport # | [1] [5] |
| Almaty | Kazakhstan | ALA | UAAA | Almaty International Airport # | [1] [5] |
| Amman | Jordan | AMM | OJAI | Queen Alia International Airport # | [1] [5] |
| Amsterdam | Netherlands | AMS | EHAM | Amsterdam Airport Schiphol # | [1] [5] |
| Ankara | Turkey | ESB | LTAC | Esenboğa International Airport ‡ | [1] |
| Antalya | Turkey | AYT | LTAI | Antalya Airport ‡ | [1] |
| Antananarivo | Madagascar | TNR | FMMI | Ivato International Airport | [14] [15] [16] |
| Aqaba | Jordan | AQJ | OJAQ | King Hussein International Airport | [1] [17] |
| Ashgabat | Turkmenistan | ASB | UTAA | Ashgabat International Airport # | [1] [5] |
| Asmara | Eritrea | ASM | HHAS | Asmara International Airport | [1] [18] |
| Astana | Kazakhstan | TSE | UACC | Astana International Airport # | [1] [5] |
| Astrakhan | Russia | ASF | URWA | Narimanovo Airport | [1] [19] |
| Athens | Greece | ATH | LGAV | Athens International Airport "Eleftherios Venizelos" | [1] |
| Atlanta | United States | ATL | KATL | Hartsfield-Jackson Atlanta International Airport # | [5] [20] |
| Baghdad | Iraq | BGW | ORBI | Baghdad International Airport | [1] |
| Baku | Azerbaijan | GYD | UBBB | Heydar Aliyev International Airport | [1] |
| Balıkesir | Turkey | BZI | LTBF | Balıkesir Airport [T] | [21] |
| Bamako | Mali | BKO | GABS | Bamako-Sénou International Airport | [1] [22] [23] |
| Bandirma ! Bandırma | Turkey | BDM | LTBG | Bandırma Airport [T] | [24] |
| Bangkok | Thailand | BKK | VTBS | Suvarnabhumi Airport # | [1] [5] |
| Barcelona | Spain | BCN | LEBL | Barcelona–El Prat Airport # | [1] [5] |
