# Sijil Pelajaran Malaysia
> Subjects

| Code | Subject (Official name) | Subject (English name) | Examination language |
| --- | --- | --- | --- |
| 2280 | Geografi | Geography | Malay |
| 3754 | Pengajian Keusahawanan | Entrepreneurial Studies | Malay |
| 3755 | Perdagangan | Business | Malay |
| 3756 | Prinsip Perakaunan | Principles of Accounting | Malay |
| 3757 | Ekonomi Asas | Basic Economics | Malay |
| 5226 | Tasawwur Islam | Islamic Worldviews | Malay |
| 5227 | Pendidikan Al-Quran dan As-Sunnah | Al-Quran and As-Sunnah Education | Malay |
| 5228 | Pendidikan Syariah Islamiah | Syariah Islamiah Education | Malay |
| 8702 | Perakaunan Perniagaan | Business Accounting | Malay |
| 9221 | Bible Knowledge | Bible Knowledge | English |
