# Windows Live
> Services

| Name | Later renamed to | Website | Description |
| --- | --- | --- | --- |
| Admin Center | N/A | domains .live .com | Provides e-mail hosting for web site owners. As of 2014 [update] , this service is still using Wave 4 user interface. Discontinued but not offline yet. |
| Calendar | N/A | calendar .live .com | Calendaring web app that allow users to organize appointments, schedule meetings, set reminders, and share their calendar events. |
| Hotmail | Outlook.com | outlook .com | Free webmail service using AJAX technology |
| ID | Microsoft account | account .live .com | Provides single sign-on service, allowing users to log into various Microsoft products and services with the same credentials. Users can manage their accounts and link multiple IDs together using this service. |
| Live@edu | Office 365 for Education | outlook .office365 .com | Hosted email service for academic institutions. |
| Search | Bing | bing .com | Microsoft search engine and advertisement platform. |
| People | N/A | people .live .com | An address book service, which allows users to keep track and synchronize their contact's information. Allow users to add contacts from other social networks including Facebook , Twitter , LinkedIn , Google , Flickr and soon Sina Weibo and Skype to their Microsoft account. |
| Profile | N/A | profile .live .com | Allow users to manage their profile information and displays information about the particular user, their recent activities, and their relationship with other Windows Live users. |
| Office | Office Web Apps , Office Online | office .com | Free-to-use web app versions of Microsoft Word , Excel , PowerPoint and OneNote . |
| SkyDrive | OneDrive | onedrive .com foldershare .com | Password-protected file hosting service . Enables file sharing and content synchronization . Can preview images, Microsoft Office documents and ZIP files . Integrates tightly with Office Web Apps and Outlook.com to serve as an online storage for their needs. |
| Service status | N/A | status .live .com | A diagnostics web page that Microsoft uses to announce the status of its online services. It gathers a status history. [8] |
