# List of Puerto Rican boxing world champions
> External links

| Number | Name | Year inducted | Notes |
| --- | --- | --- | --- |
| 1 | Carlos Ortíz | 1991 | World Jr. Welterweight Champion 1959 June 12- 1960, September 1, WBA Lightweight Champion 1962 Apr 21 – 1965 Apr 10, WBC Lightweight Champion 1963 Apr 7 – 1965 Apr 10, WBC Lightweight Champion 1965 Nov 13 – 1968 Jun 29. |
| 2 | Wilfred Benítez | 1994 | The youngest world champion in boxing history. WBA Light Welterweight Champion 1976 Mar 6 – 1977, WBC Welterweight Champion 1979 Jan 14 – 1979 Nov 30, WBC Light Middleweight Champion. |
| 3 | Wilfredo Gómez | 1995 | WBC Super Bantamweight Champion 1977 May 21 – 1983, WBC Featherweight Champion 1984 Mar 31 – 1984 Dec 8, WBA Super Featherweight Champion 1985 May 19 – 1986 May 24. |
| 4 | José "Chegui" Torres | 1997 | Won a silver medal in the junior middleweight at the 1956 Olympic Games. Undisputed Light Heavyweight Champion 1965 Mar 30 – 1966 Dec 16 |
| 5 | Sixto Escobar | 2002 | Puerto Rico's first boxing champion. World Bantamweight Champion 15 Nov 1935– 23 Sep 1937, World Bantamweight Champion 20 Feb 1938– Oct 1939 |
| 6 | Edwin Rosario | 2006 | Ranks #36 on the list of "100 Greatest Punchers of All Time." according to Ring Magazine. WBC Lightweight Champion 1983 May 1 – 1984 Nov 3, WBA Lightweight Champion 1986 Sep 26 – 1987 Nov 21, WBA Lightweight Champion 199 Jul 9 – 1990 Apr 4, WBA Light Welterweight Champion 1991 Jun 14 – 1992 Apr 10. |
| 7 | Pedro Montañez | 2007 | 92 wins out of 103 fights. Never held a title. |
| 8 | Joe Cortez | 2011 | The first Puerto Rican boxing referee to be inducted into the Boxing Hall of Fame |
| 9 | Herbert "Cocoa Kid" Hardwick | 2012 | Member of boxing's " Black Murderers' Row ". World Colored Welterweight Championship - June 11, 1937 to August 22, 1938; World Colored Middleweight Championship - January 11, 1940 until the title went extinct in the 1940s; World Colored Middleweight Championship - January 15, 1943 until the title went extinct in the 1940s |
| 10 | Félix "Tito" Trinidad | 2014 | Captured the IBF welterweight crown in his 20th pro bout. Won the WBA light middleweight title from David Reid in March 2000 and later that year unified titles with a 12th-round knockout against IBF champ Fernando Vargas. In 2001 became a three-division champion. |
| 11 | Héctor "Macho" Camacho | 2016 | First boxer to be recognized as a septuple champion in history. WBC Super Featherweight Championship - August 7, 1983 – 1984, WBC Lightweight Championship - August 10, 1985 – 1987, WBO Light Welterweight Champion - March 6, 1989 – February 23, 1991, WBO Light Welterweight Champion - May 18, 1991–1992. |
