# Baseball Hall of Fame balloting , 1968
> BBWAA election

| Player | Votes | Percent |
| --- | --- | --- |
| Joe Medwick | 240 | 84.8 |
| Roy Campanella | 205 | 72.4 |
| Lou Boudreau | 146 | 51.6 |
| Enos Slaughter | 129 | 45.6 |
| Ralph Kiner | 118 | 41.7 |
| Johnny Mize | 103 | 36.4 |
| Allie Reynolds | 95 | 33.6 |
| Marty Marion | 89 | 31.4 |
| Arky Vaughan | 82 | 29.0 |
| Pee Wee Reese | 81 | 28.6 |
| Johnny Vander Meer | 79 | 27.9 |
| Joe Gordon | 77 | 27.2 |
| Phil Rizzuto | 74 | 26.1 |
| Hal Newhouser | 67 | 23.7 |
| Bucky Walters | 67 | 23.7 |
| Bobby Doerr | 48 | 17.0 |
| George Kell | 47 | 16.6 |
| Bob Lemon | 47 | 16.6 |
| Alvin Dark | 36 | 12.7 |
| Terry Moore | 33 | 11.7 |
| Phil Cavarretta | 23 | 8.1 |
| Tommy Henrich | 22 | 7.8 |
| Bobo Newsom | 22 | 7.8 |
| Mickey Vernon | 22 | 7.8 |
| Frankie Crosetti | 15 | 5.3 |
| Ted Kluszewski * | 14 | 4.9 |
| Bobby Thomson * | 13 | 4.6 |
| Charlie Keller * | 11 | 3.9 |
| Sal Maglie * | 11 | 3.9 |
| Carl Erskine * | 9 | 3.2 |
| Don Newcombe * | 9 | 3.2 |
| † Walker Cooper * | 8 | 2.8 |
| Dom DiMaggio * | 8 | 2.8 |
| Johnny Sain * | 7 | 2.5 |
| † Richie Ashburn * | 6 | 2.1 |
| Schoolboy Rowe * | 6 | 2.1 |
| Dixie Walker * | 6 | 2.1 |
| † Ewell Blackwell * | 5 | 1.8 |
| Dutch Leonard * | 5 | 1.8 |
| Gil McDougald * | 4 | 1.4 |
| Wally Moses * | 4 | 1.4 |
| Harry Brecheen * | 3 | 1.1 |
| Jackie Jensen * | 3 | 1.1 |
| Frank McCormick | 3 | 1.1 |
| † Augie Galan * | 2 | 0.7 |
| † Ed Lopat * | 2 | 0.7 |
| Preacher Roe * | 2 | 0.7 |
| Vic Raschi * | 1 | 0.4 |
