# Global assets under management
> Assets by company

| Investor Name | Type | Total assets (US$ billion) |
| --- | --- | --- |
| Blackrock | AM | 4,700 |
| People's Bank of China | FOREX | 3,700 |
| The Vanguard Group | AM | 3,000 |
| Allianz Global Investors | AM | 2,213 |
| State Street Global Advisors | AM | 2,300 |
| Government Pension Investment Fund (Japan) | PEN | 1,370 |
| Bank of Japan | FOREX | 1,264 |
| Government Pension Fund - Global (Norway) | SWF | 893 |
| Government Pension Fund of Norway (Norway) | PEN | 856 |
| Civil Service Retirement and Disability Fund (United States) | PEN | 832 |
| Abu Dhabi Investment Authority (Abu Dhabi) | SWF | 773 |
| SAMA Foreign Holdings (Saudi Arabia) | SWF | 757 |
| Saudi Arabian Monetary Authority | FOREX | 745 |
| UBS Asset Management | AM | 680 [12] |
| China Investment Corporation (China) | SWF | 653 |
| SAFE Investment Company (China) | SWF | 567 |
| Swiss National Bank | FOREX | 531 |
| Central Bank of the Russian Federation | FOREX | 429 |
| Stichting Pensioenfonds ABP (Netherlands) | PEN | 427 |
| National Pension Service (South Korea) | PEN | 400 |
| Canada Pension Plan Investment Board | AM | 278 |
| Barclays Inverse US Treasury Composite ETN (Blackrock) | MF | 211 |
| SPDR S&P 500 (State Street Global Advisors) | MF | 200 |
| Bridgewater Associates | HF | 78 |
| Bill Gates (Microsoft) | UHNWI | 76 |
| Carlos Slim (Grupo Carso/Telemex) | UHNWI | 72 |
| Core S&P 500 ETF (Blackrock) | MF | 70 |
| Man Group | HF | 65 |
| Amancio Ortega (Inditex Group) | UHNWI | 64 |
| Warren Buffett (Berkshire Hathaway) | UHNWI | 58 |
| iShare MSCI EAFE ETF (Blackrock) | MF | 54 |
| Total Stock Market ETF (the Vanguard Group) | MF | 50 |
| Larry Ellison (Oracle Corporation) | UHNWI | 48 |
| JP Morgan Asset Management | HF | 47 |
| Brevan Howard Asset Management | HF | 37 |
| TPG Capital | PE | 36 |
| the Carlyle Group | PE | 33 |
| the Blackstone Group | PE | 30 |
| Och-Ziff Capital Management Group | HF | 29 |
| Kohlberg Kravis Roberts (KKR) | PE | 28 |
| Warburg Pincus | PE | 26 |
