# List of indigenous names of Eastern Caribbean islands
> Leeward Islands

| Present Island Name | Indigenous Name | Origin | Meaning |
| --- | --- | --- | --- |
| Anguilla | Malliouhana | Arawak | Arrow-Shaped Sea Serpent |
| St. Martin | Soualiga Oualichi | Arawak | Land of Salt |
| St. Barths | Ouanalao | Arawak | Unknown |
| Saba | Siba Amonhana | Arawak | The Rock |
| St. Eustatius | Aloi | Arawak | Cashew Tree |
| Saint Croix | Ay Ay | Taino | The River |
| Saint Kitts | Liamuiga | Kalinago | Fertile Land |
| Nevis | Oualie | Kalinago | Land of Beautiful Water |
| Montserrat | Alliouagana | Kalinago | Land of Prickly Bush |
| Barbuda | Wa'omoni | Kalinago | Unknown |
| Antigua | Wadadli | Kalinago | Land of Fish Oil |
| Redonda | Ocananmanrou | Kalinago | Unknown |
| Guadeloupe | Karukera | Kalinago | Island of Beautiful Waters |
| Marie Galante | Aichi Touloukaera | Kalinago Arawak | Unknown |
