# List of Rock Band track packs
> Rock Band Track Pack : Classic Rock

| Song title | Artist | Decade | Genre |
| --- | --- | --- | --- |
| All Right Now | Free | 1970s | Classic Rock |
| " Baba O'Riley " | Who ! The Who | 1970s | Classic Rock |
| " Bad to the Bone " | George Thorogood & the Destroyers | 1980s | Rock |
| " Behind Blue Eyes " | Who ! The Who | 1970s | Classic Rock |
| " California Über Alles " | Dead Kennedys | 1980s | Punk |
| " Can't Stand Losing You " | Police ! The Police | 1970s | Pop/Rock |
| " Closer to the Heart " | Rush | 1970s | Progressive |
| "Funk #49" | James Gang | 1970s | Classic Rock |
| " Hit Me With Your Best Shot " | Pat Benatar | 1980s | Classic Rock |
| " Holiday in Cambodia " | Dead Kennedys | 1980s | Punk |
| "Hymn 43" | Jethro Tull | 1970s | Progressive |
| " Kiss Them for Me " | Siouxsie and the Banshees | 1990s | Pop/Rock |
| " Let Love Rule " | Lenny Kravitz | 1980s | Rock |
| " Love Spreads " | Stone Roses ! The Stone Roses | 1990s | Alternative |
| " Peace of Mind " | Boston | 1970s | Classic Rock |
| " Red Barchetta " | Rush | 1980s | Progressive |
| " Rock and Roll Band " | Boston | 1970s | Classic Rock |
| " Take the Money and Run " | Steve Miller Band | 1970s | Classic Rock |
| " The Joker " | Steve Miller Band | 1970s | Classic Rock |
| "Truth Hits Everybody" | Police ! The Police | 1970s | Rock |
