# List of LGBT characters in screen media (Film and Television) — Selected Characters A–F

| Character | Title | Orientation / Gender Identity | Format | Notes |
| --- | --- | --- | --- | --- |
| Adèle | Blue Is the Warmest Colour | Lesbian | Film | Central character in the coming-of-age romance |
| Andrew Beckett | Philadelphia | Gay | Film | Lawyer facing discrimination after an HIV diagnosis |
| Brandon Teena | Boys Don't Cry | Transgender man | Film | Based on the real-life story of Brandon Teena |
| Carolina "Cali" Torres | Grey's Anatomy | Bisexual | TV series | Long-running main cast member |
| Captain Raymond Holt | Brooklyn Nine-Nine | Gay | TV series | Police captain; sexuality is explicitly stated |
| Desiree "Des" | Please Like Me | Lesbian | TV series | Recurring character in the Australian comedy-drama |
| Eric Effiong | Sex Education | Gay | TV series | Student character; storyline centers on identity and relationships |
| Frank-N-Furter | The Rocky Horror Picture Show | Gender-nonconforming (often read as trans/queer) | Film | Character is portrayed with fluid gender expression |
| Fleabag's Sister Claire's Partner: Klare? (example removed) |  |  |  |  |
| Florence "Flo" West | Atypical | Lesbian | TV series | Romantic storyline with another main character |
| Freddy Freeman's foster brother Darla? (example removed) |  |  |  |  |
